ra,dec,elon,elat,glon,glat,ls_id,ref_id,targetid,ra_ivar,dec_ivar,dchisq_psf,dchisq_rex,dchisq_dev,dchisq_exp,dchisq_ser,ebv,flux_g,flux_r,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_z,mw_transmission_g,mw_transmission_r,mw_transmission_z,fracflux_g,fracflux_r,fracflux_z,fracmasked_g,fracmasked_r,fracmasked_z,fracin_g,fracin_r,fracin_z,psfdepth_g,psfdepth_r,psfdepth_z,galdepth_g,galdepth_r,galdepth_z,flux_w1,flux_w2,flux_w3,flux_w4,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,ref_epoch,shape_r,shape_e1,shape_e2,shape_r_ivar,shape_e1_ivar,shape_e2_ivar,sersic,sersic_ivar,gaia_phot_g_mean_mag,gaia_phot_g_mean_flux_over_error,gaia_phot_bp_mean_mag,gaia_phot_bp_mean_flux_over_error,gaia_phot_rp_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_phot_bp_rp_excess_factor,gaia_astrometric_sigma5d_max,parallax,parallax_ivar,pmra,pmra_ivar,pmdec,pmdec_ivar,random_id,brickid,htm9,ring256,nest4096,brick_objid,release,nobs_g,nobs_r,nobs_z,allmask_g,allmask_r,allmask_z,wisemask_w1,wisemask_w2,maskbits,gaia_astrometric_params_solved,gaia_duplicated_source,brickname,morphtype,ref_cat,dist_arcsec,known_status
55.93324604,-2.640867256,52.9379111,-21.80423129,189.779689,-42.10051539,9.90662E+15,3.25065E+18,2.78089E+15,5.95E+13,1.23E+14,125763.8,125773.91,125774.33,125774.016,0,0.108006,7.583021,11.195377,13.478375,817.4103,299.04773,227.26614,0.7263526,0.8062446,0.88650644,0.000179566,0.000355432,0.000341629,0.005743673,0.006979444,0.011238109,0.9983068,0.9981298,0.9971625,2789.134,802.9428,286.15668,1412.0243,413.02014,135.27147,6.309787,4.8157687,124.522354,-2317.1753,3.0611815,0.69066674,0.000870967,1.18E-05,0.98186266,0.98882204,0.99760544,0.99909514,5.9074926,8.72167,10.500222,5.90754,8.721736,10.500336,2015.5,0,0,0,0,0,0,0,0,19.983788,160.4978,20.311434,14.095646,19.505133,11.958354,1.2042276,0.96950966,0.67699337,3.2333848,1.1848617,0.9150791,-1.8459287,1.2317876,93.36855,314751,2257994,410271,94606352,3855,9010,3,3,6,0,0,0,0,0,0,31,f,0558m027,PSF,G2,2.21E-07,Known
157.8545306,0.711336392,159.2567606,-7.96359842,245.217857,47.27311096,9.90662E+15,3.85514E+18,2.78097E+15,3.15E+13,1.31E+13,101818.59,101830.97,101835.19,101834.72,0,0.06510718,7.34272,10.214329,10.943654,788.2686,430.33502,120.490906,0.8247042,0.878248,0.9299553,0.00013781,5.66E-05,0.000197022,0.11505551,0.018591419,0.06798385,0.99770856,0.99701697,0.99485666,1743.339,864.69104,152.36113,1088.4354,515.3005,80.23537,2.9941401,2.9145634,-226.4747,-25.327536,2.985898,0.6298315,0.00067933,8.87E-06,0.9890269,0.99324673,0.99855584,0.99945444,5.717142,7.9530163,8.520879,5.717142,7.9530163,8.520879,2015.5,0,0,0,0,0,0,0,0,20.097744,122.88173,20.479282,9.793089,19.588053,14.427237,1.19717,1.7471629,0.3927204,0.6865043,-3.1238606,0.45631358,-2.1288798,0.29523402,23.323608,335319,3723269,388033,112199484,2126,9010,4,4,4,0,0,0,0,0,0,31,f,1578p007,PSF,G2,9.43E-08,Known
230.6495022,9.636488219,225.3533788,27.18319228,14.0791913,50.32960401,9.90663E+15,1.16868E+18,2.78119E+15,3.13E+13,4.06E+13,83253.9,83253.164,83252.65,83253.2,0,0.039288353,7.45693,10.692399,12.262975,703.2841,286.70792,75.621216,0.89020675,0.9246477,0.9571251,0,0,0,0.003925742,0.005364771,0.010039611,0.9968271,0.995559,0.99335957,1837.0023,555.275,84.44245,1005.95905,307.16602,49.06528,4.2428174,1.1328557,-7.1313972,148.3421,3.779927,0.84943455,0.001866779,2.40E-05,0.9933639,0.99591935,0.9991283,0.99967074,5.8025355,8.320183,9.542311,5.8025355,8.320183,9.542311,2015.5,0,0,0,0,0,0,0,0,20.053848,142.38382,20.113096,8.785842,19.528759,17.57443,1.3852082,1.0663837,-0.5229988,1.7232499,-0.40215257,0.6982181,-2.3339036,0.8438926,37.596107,387219,3622780,326800,34013191,4384,9010,3,3,4,0,0,0,0,0,0,31,f,2305p097,PSF,G2,9.24E-08,Known
173.2596538,20.46010925,165.5399184,16.07936777,229.1413333,70.89514605,9.90663E+15,3.97778E+18,2.78144E+15,1.47E+13,3.97E+12,72289.36,72287.984,72288.03,72288.02,0,0.021850849,7.8081365,11.272693,12.3725195,517.93066,225.50662,78.818825,0.9373646,0.95736414,0.97592276,1.05E-05,1.03E-05,3.16E-05,0.29721254,0.005323333,0.013513379,0.9981628,0.99782455,0.7513562,1080.3705,469.1399,91.906876,677.1734,264.7907,51.88402,3.2255921,1.4029168,65.187675,-366.88217,3.2386637,0.6809798,0.00078498,9.94E-06,0.9963038,0.9977284,0.9995151,0.9998169,6.057461,8.745223,9.598456,6.057461,8.745223,9.598456,2015.5,0,0,0,0,0,0,0,0,19.994452,133.4094,20.174637,6.8901644,19.421694,13.393998,1.3430407,3.003008,1.2910931,0.1279712,-3.5035558,0.16760765,-1.3967015,0.9077983,44.647797,446763,3731082,255980,115768693,3771,9010,3,3,3,0,0,0,0,0,0,31,f,1732p205,PSF,G2,1.34E-07,Known
217.6880345,22.96401632,206.3727931,35.58229343,27.93442565,67.16352059,9.90663E+15,1.24242E+18,2.7815E+15,6.46E+13,6.78E+13,98181.02,98214.484,98246.79,98249.78,0,0.026352573,8.62967,10.275652,10.695101,825.3946,264.68692,76.668915,0.92495614,0.9488087,0.9710348,0.031529743,0.006418166,-0.004639436,0.005923448,0.006008238,0.009836649,0.9989447,0.99858034,0.9978706,2077.4211,500.94785,85.287865,1209.173,295.07047,52.445312,9.462659,3.7922578,366.95847,273.62057,4.004786,0.94255555,0.002256902,2.83E-05,0.99554396,0.99726105,0.9994152,0.99977916,6.7205253,8.002366,8.3290205,6.9171534,8.047395,8.3290205,2015.5,0,0,0,0,0,0,0,0,20.017843,121.60914,20.073584,12.281243,19.48702,13.15519,1.3911122,1.0412703,-0.07225393,2.5824938,-0.6976928,0.77094245,-0.7625172,1.3267374,10.37168,460321,3631461,239723,36159115,131,9010,3,3,3,0,0,0,0,0,0,31,f,2178p230,PSF,G2,6.91E-08,Known
182.709207,28.47299057,170.209522,26.99623508,202.0641589,80.92407869,9.90663E+15,4.01284E+18,2.78162E+15,2.71E+13,7.28E+13,155313.05,155315.16,155316.28,155316.16,0,0.0177953,7.5313635,10.33726,10.901952,1324.2207,564.6149,167.2606,0.9486857,0.96513766,0.9803473,5.43E-05,0.000228304,0.000213754,0.004878144,0.006565918,0.014688045,0.999643,0.9994005,0.99920034,2900.265,1050.0219,199.22969,1740.3026,625.81885,104.02543,2.4236445,-0.06335287,15.497593,234.44579,3.9635603,0.874441,0.001164742,1.45E-05,0.9969888,0.99814963,0.99960506,0.99985087,5.8571544,8.039306,8.478467,5.8571544,8.039306,8.478467,2015.5,0,0,0,0,0,0,0,0,20.069021,157.78268,19.995007,16.424974,19.638742,19.65533,1.4180901,1.1653264,0.5486129,1.3393843,2.0038395,0.59740883,-3.537117,1.4168453,1.1517625,488765,3579268,205832,116789159,3767,9010,5,6,6,0,0,0,0,0,0,31,f,1826p285,PSF,G2,1.42E-07,Known
160.7695094,29.35380559,150.8829492,19.60637564,200.7977916,61.73018429,9.90663E+15,7.34559E+17,2.78163E+15,4.80E+13,1.26E+14,165226.16,165240.88,165260.14,165258.98,0,0.026084071,10.906608,16.415155,18.513737,648.9906,230.04477,76.01375,0.9256916,0.94931686,0.9713257,5.81E-06,1.90E-05,1.95E-05,0.004316907,0.007476852,0.010994573,0.9991566,0.99847126,0.99780416,1445.2294,475.2104,89.548546,930.1662,289.53616,55.21432,5.2135115,2.1683226,31.096977,-196.90573,3.5417783,0.7804486,0.000913975,1.23E-05,0.99558926,0.99728894,0.9994212,0.9997814,8.474271,12.754331,14.384897,8.474271,12.754331,14.384897,2015.5,0,0,0,0,0,0,0,0,19.577633,193.44028,19.814222,11.172982,19.130587,20.956625,1.2326647,1.3841537,-0.21110044,3.5149207,-9.472694,0.4476615,-5.0745926,1.5438709,48.148422,492477,3693974,200649,21378486,3921,9010,3,3,4,0,0,0,0,0,0,31,f,1606p292,PSF,G2,1.50E-07,Known
171.3827924,29.56384743,159.8341852,23.6306376,200.528869,70.96983575,9.90663E+15,4.02226E+18,2.78164E+15,2.59E+13,3.42E+13,73037.22,73036.55,73036.88,73037.03,0,0.018921595,8.077691,12.909891,16.336384,415.72614,189.47018,53.72393,0.94552803,0.9629725,0.9791165,0,0,0,0.003185551,0.006219531,0.00948178,0.997923,0.99706274,0.9951019,832.5302,387.99072,72.32437,539.04425,232.32666,38.469116,4.2601595,0.22562653,-17.598944,239.38857,3.4907174,0.7762066,0.000964492,1.20E-05,0.9967985,0.9980326,0.9995801,0.99984145,6.2711096,10.022585,12.682741,6.2711096,10.022585,12.682741,2015.5,0,0,0,0,0,0,0,0,19.817562,130.30789,20.16378,11.756648,19.160585,17.877033,1.3132037,1.2474242,1.9429033,0.82614785,-2.1554794,0.51933736,-3.6484544,0.76873124,8.695175,493771,3702493,198631,117063183,4248,9010,2,2,2,0,0,0,0,0,0,31,f,1712p295,PSF,G2,9.58E-08,Known
23.77871086,30.69867411,33.51768864,19.29825333,133.9140117,-31.23996313,9.90663E+15,3.03372E+17,2.78166E+15,2.67E+13,5.03E+13,108138.83,0,0,0,0,0.0507277,17.247284,13.406429,9.177154,298.73135,235.09464,54.620285,0.86056656,0.90379477,0.94499063,0.0314618,0.060524907,0.10163167,0.47941628,0.044070005,0.16339827,0.9959567,0.99666375,0.9971781,604.6046,456.2713,47.78515,413.98972,290.83093,29.691956,4.5464416,4.764988,52.243214,1350.6089,2.345621,0.6555678,0.001587793,2.13E-05,0.99144,0.99473435,0.99887466,0.9995749,13.427837,10.437548,7.144854,13.427837,10.437548,7.144854,2015.5,0,0,0,0,0,0,0,0,19.603872,120.994736,19.148087,21.319267,19.272814,17.404615,1.6935275,1.681856,0.63430935,2.032618,4.139364,0.2844578,-2.6280842,0.3606832,28.09591,499503,4136302,192067,8829292,4670,9010,3,3,3,0,0,0,0,0,4096,31,f,0236p307,PSF,G2,1.99E-07,Known
165.3098874,32.26196284,153.4300125,23.85629546,194.1244939,65.59577867,9.90663E+15,7.37046E+17,2.78169E+15,3.93E+13,3.27E+13,149436.94,149437.86,149438.97,149438.88,0,0.022909317,7.891063,11.107982,12.220618,1315.112,385.65674,133.76422,0.93443215,0.95534563,0.97477126,0.000151028,0.00026501,0.000386145,0.004526288,0.005271329,0.010750159,0.99884635,0.9985114,0.99741226,2620.6475,633.139,151.10335,1669.4343,390.6122,89.72828,2.5329728,1.5632428,91.70677,1314.9982,3.7046661,0.7995923,0.000989808,1.27E-05,0.9961251,0.9976185,0.99949163,0.999808,6.1408157,8.6442175,9.51007,6.1408157,8.6442175,9.51007,2015.5,0,0,0,0,0,0,0,0,20.00493,108.2538,20.536522,8.673537,19.53941,12.548967,1.1034156,1.3368863,-0.84982926,2.0473957,-0.30870625,0.7543541,-4.5694714,0.49677017,22.674026,507374,3693120,183254,21450853,1178,9010,5,4,7,0,0,0,0,0,0,31,f,1653p322,PSF,G2,1.50E-07,Known
